marketStatus,week,year,ageOfStoreInWeeks,newStore30weeks,DMAStoreCount,braziliancitruspepper,spicykoreanq,app1,app2,app3,app4,app5,web1,web2,web3,web4,web5,promo1,promo2,promo3,promo4,promo5,TotalItemSales,totalDelivery,DeliverySales,DDDeliverySales,DoorDashDeliverySales,CallDineInSales,WalkDineInSales,CallToGoSales,WalkToGoSales,appSales,webMobileSales,otherSales,TransactionCount,totalDeliveryTransactions,DeliveryTransactions,DDDeliveryTransactions,DoorDashDeliveryTransactions,CallDineInTransactions,WalkDineInTransactions,CallToGoTransactions,WalkToGoTransactions,appTransactions,webMobileTransactions,otherTransactions,OLOSocialSpend,OLOSearchSpend,OLODisplaySpend,OLVNationalSpend,OLVSocialSpend,DigitalSpend,tvspend,AdSpend,localsponsorsSpend,localsocialSpend,localdigitalSpend,localradioSpend,localoohSpend,localotherSpend,localtvSpend,localmobileSpend,localAdSpend,MaxTemp,wingstops_within_3_miles,Buffalo_Wild_Wings_within_3_miles,Chick_Fil_A_within_3_miles,Chipotle_within_3_miles,KFC_within_3_miles,Panda_Express_within_3_miles,Pizza_Hut_within_3_miles,Taco_Bell_within_3_miles,Whataburger_within_3_miles,Dominos_within_3_miles,competitors_within_3_miles,raining_float,snowing_float,OverallSatisfaction,DigitalOSAT,TasteOfFood,AccuracyOfOrder,SpeedOfService,unemploymentRate,InternalDeliveryAvailable,DDDeliveryAvailable,DoorDashDeliveryAvailable,AnyDeliveryAvailable,price10BonelessCombor,price10ClassicComboj,price10pcBonelessr,price10pcClassicj,price10SplitComboj,price12pcClassicj,price15BonelessCombor,price15ClassicComboj,price15pcBonelessr,price15pcClassicj,price15SplitComboj,price2pcCrispyTenders,price20OzBeverage,price20pcBonelessr,price20pcClassicj,price24pcFamilyBonelessr,price24pcFamilyClassicj,price24pcFamilySplitj,price25BWBigNiteinBundle,price3CrispyTendersCombo,price3pcBonelessr,price3pcClassicj,price30pcClassicj,price30pcFamilyBonelessr,price30pcFamilyClassicj,price30pcFamilySplitj,price32OzBeverage,price4pcCrispyTenders,price40pcFamilyClassicj,price40pcFamilySplitj,price5CrispyTendersCombo,price5pcBonelessr,price5pcClassicj,price50pcFamilyClassicj,price6BonelessCombor,price6ClassicComboj,price6SplitComboj,price8BonelessCombor,price8ClassicComboj,price8pcBonelessr,price8pcClassicj,price8SplitComboj,priceAdd5BonelessWingsr,priceAdd5ClassicWingsJ,priceBleuCheeseRegular,priceBuffaloFF,priceBWLunchCombor,priceCarrotSticks,priceCelerySticks,priceCheeseFriesRegular,priceCheeseSauceMedium,priceCheeseSauceRegular,priceCLLunchComboj,priceFrenchFriesLarge,priceFrenchFriesRegular,priceFrenchFriesRegulare,priceFriedCornLarge,priceFriedCornRegular,priceHoneyMustardRegular,priceRanchLarge,priceRanchRegular,priceRollEach,priceRollsHalfDozen,priceSauce,priceTripleChocolateBrownie,priceUpgradeDrink,priceVeggieSticks,priceVoodooFriesLarge,priceVoodooFriesRegular,householdsPerStore,WeekNo,WeekDate,WeekDay,Month,Year,Quarterly,QYear,Year_01,BRAND,BRAND_CODE,MARKET_CODE
Core,0,2017,1174,1,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7583005.88,0,0,0,0,8748.64,1674986.69,2315389.86,1988300.18,0,1162005.56,433574.95,423458,0,0,0,0,501,104344,111054,133897,0,51462,22200,7983.118913,7071.859701,1614.413516,0,15952.925,32622.31714,0,32622.31714,22384.62786,0,3338.019303,4084.297521,231.4049587,14841.30639,0,0,44879.65604,80.96,6,2,10,8,8,9,13,10,8,8,52,0.293130043,0.011865211,0.576158817,0.459498783,NA,NA,NA,4.940863787,1,0,0,1,11.99663051,12.07785256,7.721065848,8.704528237,11.80983469,10.82370146,19.36041532,19.39039006,11.28202545,12.78084081,19.3941841,2.764988671,2.088284069,15.21500966,17.1104158,26.76504358,26.97000204,26.91150483,15.99,8.07679095,2.4436231,2.82098884,24.95093794,30.79038106,31.13661406,30.99985783,2.548541553,6.089865084,40.84277984,40.64642868,10.42712934,3.766112346,4.387514882,50.45672998,8.929896657,8.954001339,8.913747611,10.30968121,10.33641866,6.435250945,7.254358125,10.29117296,3.002237399,3.978453009,0.826351965,3.827506251,5.957842203,1.088470427,1.065631604,3.223911267,2.008923396,1.037167187,6.093664893,3.691185804,2.160271763,2.472018347,4.482726546,2.934057384,0.835642259,3.573804479,0.826030828,0.519476799,2.606496164,0.838600819,1.737067474,0.415280715,1.087134836,5.184932977,3.853507137,37362.19269,0,1/1/2017,1,1,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,1,2017,1175,1,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7508798.3,0,0,0,0,9108.9,1724369.95,2270559.33,1923937.04,0,1156143.15,424679.93,425060,0,0,0,0,516,107934,110864,131413,0,51964,22369,6545.457689,8675.842298,5277.378356,0,10446.60796,30945.2863,0,30945.2863,22384.62786,0,3338.019303,4084.297521,231.4049587,14841.30639,0,0,44879.65604,84.02,6,2,10,8,8,9,13,10,8,8,52,0.242524917,0,0.576158817,0.459498783,NA,NA,NA,4.940863787,1,0,0,1,11.99571825,12.07609738,7.831089342,8.707978476,11.79312776,10.82825224,19.36588539,19.38652577,11.42571855,12.78137129,19.3825826,2.774409491,2.088621612,15.46733323,17.1132259,26.77468099,26.96988813,26.9120298,15.99,8.07778612,2.49088541,2.820346544,25.00520252,30.79861411,31.13988716,31.00182051,2.549791603,6.081140568,40.90439838,40.71683293,10.42406742,3.818339134,4.386130983,50.49226008,8.929959303,8.954001339,8.927050791,10.30943557,10.33641866,6.547747833,7.258177662,10.29803566,3.002305111,3.946389451,0.826151313,3.827506251,5.901285971,1.082182843,1.062382162,3.225655347,2.018641475,1.037317645,6.102943545,3.691441454,2.160191672,2.472018347,4.482726546,2.934057384,0.835243423,3.578414093,0.826030828,0.518764941,2.602568393,0.839062975,1.736306093,0.415039246,1.0872224,5.184932977,3.853507137,37362.19269,1,1/8/2017,1,1,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,2,2017,1176,1,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7579703.45,0,0,0,0,9648.06,1651070.63,2336389.96,1947670.47,0,1202452.49,432471.84,420175,0,0,0,0,533,102949,110780,130817,0,52574,22522,5632.397598,9365.193456,5792.361021,0,7465.24695,28255.19902,0,28255.19902,22384.62786,0,3338.019303,4084.297521,231.4049587,14841.30639,0,0,44879.65604,87.08,6,2,10,8,8,9,13,10,8,8,52,0.549280177,0,0.576158817,0.459498783,NA,NA,NA,4.940863787,1,0,0,1,11.99594393,12.0754358,7.836046789,8.708381356,11.80453758,10.82716669,19.34077178,19.38176746,11.42359098,12.78441626,19.38568152,2.785032193,2.088592982,15.4581142,17.11293678,26.780936,26.97609465,26.93756915,15.99,8.084552976,2.495854499,2.821595656,24.96094081,30.77258692,31.14107087,30.96376694,2.550429886,6.085263041,40.85913371,40.72925734,10.42121939,3.828367387,4.38034004,50.44072592,8.929925145,8.953931819,8.928211933,10.309857,10.33641866,6.548003768,7.254856896,10.29143827,3.001676588,3.948918927,0.826200893,3.827506251,5.864658737,1.083978053,1.066914624,3.215339895,2.01938208,1.036106135,6.061598034,3.690494479,2.160278501,2.472018347,4.482726546,2.934057384,0.835697266,3.574633809,0.826030828,0.519313951,2.614063721,0.838666969,1.73736906,0.411352275,1.087217843,5.184932977,3.853507137,37387.6334,2,1/15/2017,1,1,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,3,2017,1177,1,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7347072.34,0,0,0,0,11186.45,1690594.42,2209603.44,1893800.45,0,1121819.63,420067.95,419141,0,0,0,0,577,105939,109558,129272,0,51421,22374,7848.259766,10489.37158,4962.047048,0,1027.100713,27479.79456,0,27479.79456,22384.62786,0,3338.019303,4084.297521,231.4049587,14841.30639,0,0,44879.65604,91.04,6,2,10,8,8,9,13,10,8,8,52,0.130991932,0,0.576158817,0.459498783,NA,NA,NA,4.940863787,1,0,0,1,11.99115384,12.07863529,7.83010113,8.707469222,11.79981385,10.82994737,19.35641975,19.38649819,11.429117,12.79274759,19.40050487,2.767936749,2.088504245,15.44124867,17.11111235,26.80758962,26.9800867,26.90809608,15.99,8.071553849,2.500540718,2.823088823,24.97277921,30.777952,31.13993936,30.98749152,2.548946327,6.086433331,40.91625388,40.64479997,10.41760113,3.839945516,4.382781004,50.38260719,8.929829763,8.954001339,8.921756477,10.30981007,10.33641866,6.54934198,7.254981726,10.290447,3.001564237,3.955787994,0.826226374,3.827506251,5.900987596,1.088714656,1.07179543,3.222181508,2.014939866,1.037306299,6.051603514,3.690908414,2.160278837,2.472018347,4.482726546,2.934057384,0.834512976,3.573615049,0.826030828,0.517726233,2.612301474,0.839535255,1.737257118,0.416525619,1.08709926,5.184932977,3.853507137,37362.19269,3,1/22/2017,1,1,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,4,2017,1178,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,7390011.53,0,0,0,0,10991.96,1737851.19,2189718.27,2053079.57,0,1017428.48,380942.06,421258,0,0,0,0,560,107656,108815,135918,0,47563,20746,6815.257271,10489.37158,2860.984499,0.069053551,0,26896.16587,0,26896.16587,22384.62786,0,3668.597815,12698.1157,231.4049587,10448.19835,0,0,49430.94468,87.98,6,2,10,8,8,9,13,10,8,8,52,0.043189369,0,0.576158817,0.459498783,NA,NA,NA,4.88372093,1,0,0,1,11.99898451,12.07788916,7.825475066,8.708486851,11.80313048,10.83164829,19.34472968,19.37743982,11.4346861,12.79106381,19.3877871,2.80026166,2.088616574,15.51195616,17.11080472,26.87429755,26.98157645,26.91176851,15.99,8.078308256,2.496226858,2.822406734,24.95928004,30.85944877,31.13902601,30.99422756,2.552634087,6.094920638,40.87720351,40.66286517,10.415664,3.851923015,4.380826069,50.41432963,8.929767606,8.954001339,8.927391969,10.31024412,10.33641866,6.548164521,7.258953219,10.29259048,3.428508653,3.954601299,0.826318712,3.827506251,5.886383038,1.085312486,1.066999295,3.228860394,2.012020049,1.037068763,6.041724121,3.691346935,2.160191672,2.472018347,4.482726546,2.934057384,0.834813822,3.574250564,0.826030828,0.519230783,2.611495228,0.837331237,1.736592395,0.414220605,1.086815946,5.184932977,3.853507137,37362.19269,4,1/29/2017,1,1,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,5,2017,1179,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8683294.13,0,0,0,0,9350.41,1625938.1,2911063.5,2521695.81,0,1227349.22,387897.09,455434,0,0,0,0,479,102143,125726,154711,0,51480,20895,12226.66429,10520.2585,3728.339742,35035.34661,42810.05609,105673.4557,246499.2879,352172.7435,22384.62786,0,3916.5317,19158.47934,231.4049587,5913.785124,0,0,51604.82898,91.94,6,2,10,8,8,9,13,10,8,8,52,0.180103725,0,0.576158817,0.459498783,NA,NA,NA,4.841254125,1,0,0,1,11.9946691,12.07902457,7.841555743,8.708160023,11.81310728,10.83472356,19.37509541,19.39775479,11.45049718,12.80102481,19.42958885,2.77455611,2.088832334,15.52484517,17.1210236,26.86456674,26.9908237,26.94365129,15.99,8.075691041,2.496287111,2.823942982,24.98788794,30.81070552,31.1417114,31.00924934,2.555217824,6.094107781,40.87738368,40.70327463,10.4256783,3.849211342,4.390182159,50.47170308,8.927816973,8.956374301,8.919291157,10.30832577,10.33947069,6.54601368,7.258642194,10.30481386,3.564119288,3.962720915,0.826560672,3.826227448,5.799515336,1.08302356,1.068022747,3.218382843,2.019687253,1.036558628,5.954513658,3.691248672,2.161089112,2.471539167,4.482654247,2.934327525,0.83411192,3.574107068,0.826468236,0.518869948,2.612741049,0.837193803,1.735410206,0.415288672,1.08767694,5.184494268,3.852187757,37269.29126,5,2/5/2017,1,2,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,6,2017,1180,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7688263.14,0,0,0,0,10991.64,1774507.91,2271721.91,2044364.08,0,1147379.68,439297.92,436547,0,0,0,0,572,108279,112166,138218,0,53688,23624,12539.49025,10578.67973,3689.725453,48064.14269,47165.22369,135275.0214,41036.56316,176311.5845,22384.62786,0,3916.5317,19158.47934,231.4049587,5913.785124,0,0,51604.82898,89.96,6,2,10,8,8,9,13,10,8,8,52,0.242637845,0,0.576158817,0.459498783,NA,NA,NA,4.842105263,1,0,0,1,11.99934546,12.07875236,7.834577319,8.713347429,11.81368958,10.83317473,19.36611602,19.39433312,11.42674555,12.79587993,19.39429391,2.773876559,2.08907469,15.48476988,17.11907241,26.87877929,26.99608415,26.9613774,15.99,8.082918355,2.498387206,2.822426734,25.02448072,30.88440914,31.14737082,31.04557814,2.553107194,6.081914587,40.90753524,40.79662525,10.42949534,3.846228095,4.385683738,50.53054648,8.928124797,8.956410966,8.918932047,10.30883905,10.34053449,6.54199386,7.257545566,10.31360204,3.563662679,3.962916726,0.827124299,3.826255828,5.869232712,1.086282232,1.068119273,3.218406264,2.020685028,1.039028543,6.031487711,3.690547626,2.161842109,2.471549801,4.482655851,2.934321529,0.834197137,3.574202673,0.826677222,0.51994252,2.616417348,0.837498705,1.737346981,0.415241112,1.088208988,5.184504004,3.852217038,37093.81261,6,2/12/2017,1,2,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,7,2017,1181,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8019874.37,0,0,0,0,10808.9,1888365.8,2323289.86,2182641.41,0,1172938.57,441829.83,454533,0,0,0,0,543,113859,114088,147412,0,54697,23934,8761.95678,10597.59533,3404.397973,47578.13542,47191.48824,128540.4547,107052.9213,235593.376,22384.62786,0,3916.5317,19158.47934,231.4049587,5913.785124,0,0,51604.82898,100.04,6,2,10,8,8,9,13,10,8,8,52,0.189539422,0,0.576158817,0.459498783,NA,NA,NA,4.841639344,1,0,0,1,11.9867592,12.07951572,7.838947355,8.716787588,11.8265452,10.83658408,19.35911814,19.38431554,11.44374091,12.80478619,19.42602365,2.773521441,2.089434895,15.48830621,17.12031571,26.86696841,26.99611988,26.98368031,15.99,8.083607691,2.496763241,2.825625938,25.04827939,30.85035494,31.15913668,31.05496511,2.553006631,6.100811491,40.94221257,40.81124539,10.43057471,3.847011363,4.395373765,50.57141567,8.927273856,8.957642814,8.933207001,10.30843381,10.34182981,6.546814225,7.259436806,10.31508259,3.566399747,3.957348784,0.827129264,3.825624719,5.792888457,1.087424352,1.064766047,3.219389395,2.018046149,1.038312257,6.005920486,3.690573715,2.162276749,2.471313318,4.482620171,2.934454848,0.834049875,3.573974758,0.826892372,0.519703291,2.615815567,0.838906082,1.737650577,0.41816291,1.088339412,5.184287495,3.851565904,36981.15364,7,2/19/2017,1,2,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,8,2017,1182,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8124026.14,0,0,0,0,10961.95,1864953.1,2350762.58,2246068.33,0,1198506.79,452773.39,463027,0,0,0,0,538,113647,115760,153088,0,55534,24460,2347.546914,9090.582843,3282.185773,16889.80924,38413.25528,70023.38006,17852.61266,87875.99271,22384.62786,0,4214.052361,16888.06612,99.17355372,9895.404959,0,0,53481.32485,87.98,6,2,10,8,8,9,13,10,8,8,52,0.158860265,0,0.576158817,0.459498783,NA,NA,NA,4.784519906,1,0,0,1,11.99473725,12.07933617,7.837407983,8.717107392,11.83001844,10.83835154,19.36458825,19.39351974,11.45866941,12.81237927,19.40754757,2.771018197,2.089509463,15.46859707,17.12410925,26.86766414,26.99789551,26.95622049,15.99,8.081403393,2.491665632,2.82470826,25.02895638,30.86954085,31.15985972,31.03955307,2.555952179,6.09217649,40.92139196,40.81407536,10.43633812,3.839447463,4.393361491,50.5574799,8.927596089,8.957642814,8.929486132,10.30862297,10.34201736,6.545246604,7.25546027,10.30902119,3.56834764,3.963058162,0.827566978,3.825624719,5.867038709,1.086764872,1.066661037,3.234231565,2.018237334,1.038955882,6.107380237,3.690970375,2.162383797,2.471313318,4.482620171,2.934454848,0.833506274,3.575446322,0.826892372,0.520257746,2.614362011,0.837196959,1.737120217,0.419713733,1.088647392,5.184287495,3.851565904,36884.47808,8,2/26/2017,1,2,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
Core,9,2017,1183,1,109,0.857611241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7836490.9,0,0,0,0,11545.69,1827524.49,2248579.09,2141874.03,0,1154070.06,452897.54,449907,0,0,0,0,589,112200,111223,147366,0,54346,24183,2041.4773,8026.665332,3552.227319,1681.647845,5046.500754,20348.51855,180661.7664,201010.285,22384.62786,0,4437.192857,15185.2562,0,12881.61983,0,0,54888.69675,91.04,6,2,10,8,8,9,13,10,8,8,52,0.306323185,0,0.576158817,0.459498783,NA,NA,NA,4.74295082,1,0,0,1,11.99642666,12.08015329,7.836840892,8.717667592,11.82884929,10.84059442,19.38217678,19.40374083,11.4380352,12.80653352,19.41852265,2.769359301,2.090092751,15.48033191,17.12104042,26.85858553,26.99981512,26.97515795,15.99,8.085612592,2.489228477,2.827409639,25.05388241,30.8712559,31.16542423,31.08360485,2.555704755,6.100949975,40.9652189,40.78796499,10.44244152,3.836292703,4.38525459,50.59970192,8.927041516,8.959355006,8.942657889,10.30876026,10.34474225,6.547106437,7.260950695,10.31768777,3.571492974,3.962671985,0.826804493,3.824965415,5.857983476,1.086766891,1.065551198,3.221556071,2.017974138,1.038781636,6.013849658,3.690103933,2.163286259,2.471066271,4.482582896,2.934594122,0.834847466,3.573885936,0.826899907,0.520872987,2.6136286,0.838394909,1.735526764,0.416302632,1.088482419,5.184061313,3.850885681,37008.24124,9,3/5/2017,1,3,2017,q1,q1 2017,2017 YTD,WINGSTOP,WG,MCORE
