NATIONAL,NAT_CODE,MARKET,MKT_CODE,DMA_NAME,DMA_CODE,STORE_NO,STORE_CODE
TOTAL,TOTUS,EMERGING,MEMER,ABILENE-SWEETWATER,DABI01,84,SAB0084
TOTAL,TOTUS,EMERGING,MEMER,ABILENE-SWEETWATER,DABI01,1151,SAB1151
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,479,SAL0479
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,480,SAL0480
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,488,SAL0488
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,714,SAL0714
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,1038,SAL1038
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,1144,SAL1144
TOTAL,TOTUS,EMERGING,MEMER,ALBUQUERQUE-SANTA FE,DALB01,1388,SAL1388
TOTAL,TOTUS,EMERGING,MEMER,AMARILLO,DAMA01,90,SAM0090
TOTAL,TOTUS,EMERGING,MEMER,AMARILLO,DAMA01,416,SAM0416
TOTAL,TOTUS,EMERGING,MEMER,AMARILLO,DAMA01,892,SAM0892
TOTAL,TOTUS,EMERGING,MEMER,ANCHORAGE,DANC01,1225,SAN1225
TOTAL,TOTUS,EMERGING,MEMER,ANCHORAGE,DANC01,1443,SAN1443
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,76,SAT0076
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,147,SAT0147
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,619,SAT0619
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,663,SAT0663
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,703,SAT0703
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,742,SAT0742
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,822,SAT0822
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,834,SAT0834
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,859,SAT0859
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,860,SAT0860
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1079,SAT1079
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1098,SAT1098
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1126,SAT1126
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1131,SAT1131
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1175,SAT1175
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1180,SAT1180
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1193,SAT1193
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1263,SAT1263
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1269,SAT1269
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1281,SAT1281
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1288,SAT1288
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1343,SAT1343
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1347,SAT1347
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1393,SAT1393
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1401,SAT1401
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1410,SAT1410
TOTAL,TOTUS,EMERGING,MEMER,ATLANTA,DATL01,1528,SAT1528
TOTAL,TOTUS,EMERGING,MEMER,AUGUSTA-AIKEN,DAUG01,48,SAU0048
TOTAL,TOTUS,EMERGING,MEMER,AUGUSTA-AIKEN,DAUG01,101,SAU0101
TOTAL,TOTUS,EMERGING,MEMER,AUGUSTA-AIKEN,DAUG01,161,SAU0161
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,26,SAU0026
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,108,SAU0108
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,164,SAU0164
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,188,SAU0188
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,236,SAU0236
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,342,SAU0342
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,378,SAU0378
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,411,SAU0411
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,462,SAU0462
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,576,SAU0576
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,706,SAU0706
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,1035,SAU1035
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,1112,SAU1112
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,1218,SAU1218
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,1219,SAU1219
TOTAL,TOTUS,DEVELOPING,MDEVL,AUSTIN,DAUS01,1275,SAU1275
TOTAL,TOTUS,EMERGING,MEMER,BAKERSFIELD,DBAK01,308,SBA0308
TOTAL,TOTUS,EMERGING,MEMER,BAKERSFIELD,DBAK01,689,SBA0689
TOTAL,TOTUS,EMERGING,MEMER,BAKERSFIELD,DBAK01,1077,SBA1077
TOTAL,TOTUS,EMERGING,MEMER,BALTIMORE,DBAL01,676,SBA0676
TOTAL,TOTUS,EMERGING,MEMER,BALTIMORE,DBAL01,1108,SBA1108
TOTAL,TOTUS,EMERGING,MEMER,BALTIMORE,DBAL01,1114,SBA1114
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,82,SBA0082
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,311,SBA0311
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,459,SBA0459
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,512,SBA0512
